"Repeat" "Naive.Kmeans" "Extrinsic.Kmeans" "A_e" "A_o"
"1" 1 0.109460105648167 0.487488330171002 0.819559487985681 0.855820560270917
"2" 2 0.0790479037430091 0.294186502278152 0.718226445566457 0.808783508649002
"3" 3 0.115590300467712 0.51212287331999 0.784138999734133 0.818518512687344
"4" 4 0.090034185670319 0.327352318266127 0.746930737413389 0.829425938597689
"5" 5 0.0929948843657699 0.516309321313796 0.754402400688393 0.798875057190487
"6" 6 0.093903429759444 0.785470727809156 0.728768781945907 0.801588954326775
"7" 7 0.0908335090884596 0.388878487053888 0.408381895565539 0.412056915376371
"8" 8 0.114147661532924 0.436789707118668 0.743239229875919 0.83741235343534
"9" 9 0.36426096598977 0.321306023179364 0.756896293782818 0.896621583874065
"10" 10 0.1043968066233 0.371175800840278 0.75742673411093 0.801222685265557
"11" 11 0.107559519266995 0.460448946351093 0.732342047648623 0.852411684074337
"12" 12 0.0861747487231939 0.476860189064708 0.750651795380775 0.898967200256267
"13" 13 0.0950482750306416 0.347617813536565 0.735944880751461 0.883361631377768
"14" 14 0.0969547055290719 0.373735236813833 0.758986576233443 0.813504738784697
"15" 15 0.12308394759916 0.413952532249046 0.732342047648623 0.826238422165512
"16" 16 0.102279844702132 0.472743266959111 0.746930737413389 0.777773584940806
"17" 17 0.297250164546101 0.407866738856422 0.743239229875919 0.845842806846538
"18" 18 0.0982533953040416 0.426838584770796 0.754402400688393 0.830513115738742
"19" 19 0.0989774589950527 0.461797973997614 0.739577276318265 0.908133865190678
"20" 20 0.126736270824815 0.350288990206303 0.732342047648623 0.821340593597921
"21" 21 0.0999920173186907 0.705579487313697 0.739577276318265 0.742188783033924
"22" 22 0.124296409818089 0.609792140610954 0.75818255070587 0.861561273038734
"23" 23 0.0905668648442026 0.420257247592741 0.743239229875919 0.869439611619993
"24" 24 0.0977827366333355 0.422090537386875 0.735944880751461 0.784062939302302
"25" 25 0.100291183503458 0.429375652210089 0.75818255070587 0.815839001449126
"26" 26 0.0983652223868636 0.442854917272431 0.743239229875919 0.836576048921905
"27" 27 0.110974839738995 0.378520406846168 0.741142258953597 0.810237219180701
"28" 28 0.318798355191072 0.732037332977847 0.774577579827269 0.876498701807216
"29" 29 0.108600958171526 0.416020176058916 0.725225089043495 0.852522874721628
"30" 30 0.0956653075962044 0.384688177788787 0.760578200357767 0.842834027855131
"31" 31 0.0983652223868636 0.411102867410646 0.769700249584978 0.879453867489649
"32" 32 0.110063694267516 0.360241241148881 0.746930737413389 0.80761488309732
"33" 33 0.103915014705528 0.430261565603588 0.732342047648623 0.805146182705401
"34" 34 0.110438443678082 0.390037192655347 0.732342047648623 0.743737751794349
"35" 35 0.0833207977785754 0.30702408653724 0.732342047648623 0.886307302460538
"36" 36 0.0775661317390662 0.315741718671123 0.774491768510084 0.848167979369719
"37" 37 0.102402581805258 0.3412259975717 0.732342047648623 0.806437405551323
"38" 38 0.0784649397955565 0.74197532727947 0.753710475994013 0.916013248937983
"39" 39 0.102402581805258 0.341254676939532 0.754402400688393 0.868869590133468
"40" 40 0.085091510183342 0.252902682392654 0.739577276318265 0.81776985232813
"41" 41 0.0978840507221213 0.34006953590078 0.788220407646903 0.778724098449422
"42" 42 0.117439253530601 0.376678127769274 0.732342047648623 0.825539054326511
"43" 43 0.0876047338704817 0.395768172217225 0.779978455124962 0.902333792973659
"44" 44 0.701978183121889 0.371755438725565 0.743239229875919 0.850286139155347
"45" 45 0.0818177900556041 0.493568020704855 0.783471788734717 0.855913847493559
"46" 46 0.109015632633122 0.296860157928683 0.735944880751461 0.8300173462189
"47" 47 0.121028140762454 0.756483555116842 0.750651795380775 0.884475479485898
"48" 48 0.106549774059522 0.596979814714743 0.742739031055482 0.85706838912917
"49" 49 0.0944609819893725 0.397738704432294 0.739577276318265 0.846869246492195
"50" 50 0.116684319100681 0.350244738474426 0.721710974806593 0.888828695325686
"51" 51 0.113716603379205 0.350435704503343 0.735944880751461 0.762107810359354
"52" 52 0.0923432874535954 0.421561150496315 0.725225089043495 0.809287163555804
"53" 53 0.110846525506439 0.42766424865116 0.739577276318265 0.89772649367663
"54" 54 0.0877875149944204 0.397982502953802 0.721710974806593 0.715766125511875
"55" 55 0.102279844702132 0.342716523328019 0.754402400688393 0.816218664739838
"56" 56 0.0838633395404312 0.464821365537248 0.566882606999359 0.57014220427229
"57" 57 0.110846525506439 0.355129585287568 0.728768781945907 0.866361623440528
"58" 58 0.095750326436914 0.296568890898163 0.728768781945907 0.811882649669605
"59" 59 0.100546687398256 0.347380476069956 0.728768781945907 0.766751921724209
"60" 60 0.104215211366285 0.350435704503343 0.743239229875919 0.811581780667406
"61" 61 0.0982533953040416 0.361562368296744 0.739577276318265 0.8229201339746
"62" 62 0.0962137955162327 0.398809148875752 0.732342047648623 0.831529078807467
"63" 63 0.0977827366333355 0.30088532658811 0.774577579827269 0.838473643204315
"64" 64 0.0769638882086734 0.330685009852697 0.760578200357767 0.866742590377078
"65" 65 0.11055576215641 0.392722890472094 0.735944880751461 0.852411684074337
"66" 66 0.187105045190208 0.445352727546809 0.739577276318265 0.837294519470443
"67" 67 0.126543861946308 0.702495350633688 0.754402400688393 0.855075599362344
"68" 68 0.101978468524584 0.40177008757087 0.754402400688393 0.911945557515667
"69" 69 0.0836793171870629 0.330500254655922 0.743239229875919 0.821770429411624
"70" 70 0.0779864400014651 0.38030394098052 0.735944880751461 0.870687799033603
"71" 71 0.708143296541273 0.748851348594145 0.750651795380775 0.910578560027269
"72" 72 0.0944609819893725 0.359571765667465 0.742739031055482 0.785033353860642
"73" 73 0.093375620075793 0.426340034128229 0.735944880751461 0.85959085704303
"74" 74 0.0903539380411987 0.356803351325224 0.728768781945907 0.865857960239211
"75" 75 0.110141275936822 0.569554213302957 0.739577276318265 0.859369892832198
"76" 76 0.0945384904620632 0.274523485248721 0.732342047648623 0.849747722793473
"77" 77 0.0903539380411987 0.391917417456179 0.739577276318265 0.781801206065634
"78" 78 0.0944609819893725 0.531183705517322 0.750651795380775 0.84705101018753
"79" 79 0.132901200550668 0.332203439121405 0.732342047648623 0.846423253729022
"80" 80 0.0941940807841373 0.327352318266127 0.807428457620611 0.846600850876644
"81" 81 0.12601008981865 0.356803351325224 0.75818255070587 0.890310172480826
"82" 82 0.0823169743233722 0.335020088556581 0.746930737413389 0.826451973584365
"83" 83 0.0983652223868636 0.295988317935297 0.743239229875919 0.85781574465815
"84" 84 0.0983652223868636 0.750259865255053 0.743239229875919 0.873257494017347
"85" 85 0.103691152649577 0.433751661594273 0.743239229875919 0.890233581510167
"86" 86 0.087220203212213 0.295988317935297 0.778742567505803 0.879696191944976
"87" 87 0.110846525506439 0.325845965275525 0.389080113353585 0.413481564140386
