"Repeat" "Naive.Kmeans" "Extrinsic.Kmeans" "A_e" "A_o"
"48" 48 0.447675752501941 0.755910507913164 0.973833625361097 0.822459920929421
"49" 49 0.602748359086975 0.708311234173302 1 0.905156338982744
"50" 50 0.446462965675295 0.757341333510977 1 0.906346636500826
"51" 51 0.440006201849127 1 1 0.858573647136856
"52" 52 0.530479941418016 1 0.94556002788334 0.803824127694918
"53" 53 0.616950738841772 0.712063604383012 1 0.956366104454096
"54" 54 0.585160508092765 0.763132184891996 1 0.819755801478803
"55" 55 0.564016790951157 0.755999997074961 0.94556002788334 0.774418835036713
"56" 56 0.57568829671635 0.755999997074961 1 0.820250557441955
"57" 57 0.555617505984871 1 1 0.957327672742088
"58" 58 0.542503759843214 1 1 0.957062557590335
"59" 59 0.508731000554231 1 1 0.858568092109725
"60" 60 0.577134858162453 1 1 0.908640886824965
"61" 61 0.599729602960283 1 0.881397096854869 0.760315279600945
"62" 62 0.643756879485321 0.756268414482797 0.953824048623665 0.900700109408486
"63" 63 0.600402699597446 1 0.89783197535476 0.837127455898666
"64" 64 0.42573205249297 1 1 0.920386479385965
"65" 65 0.618365153711887 1 1 0.919809368908676
"66" 66 0.555618276956443 0.703033745487175 0.843922930881989 0.733763703871665
"67" 67 0.642251848168813 1 1 0.925794372811059
"68" 68 0.627224275871055 0.756268414482797 1 0.94428988460483
"69" 69 0.579613261536976 1 0.94482972331597 0.903594617791628
"70" 70 0.651121958090997 0.756268414482797 1 0.875564072526932
"71" 71 0.409329855062643 1 1 0.893350587244693
"72" 72 0.601609353078284 0.991526619240723 1 0.910907816564284
"73" 73 0.646060269866438 1 0.994073106268061 0.88806288954395
"74" 74 0.472891070786389 1 0.947018788646571 0.859060242733643
"75" 75 0.439848540226193 0.750991707296306 0.989825225539557 0.880260134191889
"76" 76 0.618968999502592 0.702182934272422 1 0.944556827334483
"77" 77 0.633892172737653 0.757341333510977 1 0.92525322556382
"78" 78 0.640945682185035 1 0.945103659810783 0.858572648068708
"79" 79 0.522592027625144 1 0.782934081814695 0.556355067360071
"80" 80 0.581101372049317 0.702182934272422 1 0.943271095949461
"81" 81 0.523742464284828 1 1 0.958063763053463
"82" 82 0.640141052937785 1 0.991526619240723 0.842101814713595
"83" 83 0.654130773947541 1 0.92953546437536 0.745737621394448
"84" 84 0.625052909788027 0.755910507913164 1 0.880762426154918
"85" 85 0.640543447132592 1 0.988277722032454 0.882972735349729
"86" 86 0.614842224261992 1 1 0.852763342907374
"87" 87 0.627306502906233 0.755999997074961 1 0.914232764848068
"88" 88 0.54221980685877 1 0.977094084662214 0.897774112846616
"89" 89 0.449118834881281 0.81025951837319 1 0.961382570628223
"90" 90 0.581378700930013 0.989804403472545 0.950564227346926 0.880264904756156
"91" 91 0.661962901987879 1 1 0.936117943361405
"92" 92 0.677107527727512 0.758145235529995 1 0.886349643321692
"93" 93 0.434130006678392 0.989804403472545 1 0.931518330846227
"94" 94 0.63983915279768 0.755999997074961 1 0.822512427579406
"95" 95 0.498051066895206 0.703033745487175 0.957791572899944 0.866762432128219
"96" 96 0.646160298757472 1 1 0.906844705618049
"97" 97 0.616133332752293 1 0.94556002788334 0.824558126232659
"98" 98 0.621419244211701 0.72175307439292 1 0.916882312661021
"99" 99 0.597635684330018 0.756715609974051 1 0.872228324705221
"100" 100 0.531222479677206 1 0.952105125043712 0.768233312036077
