"Repeat" "Naive.Kmeans" "Extrinsic.Kmeans" "A_e" "A_o"
"1" 1 0.611117801031378 1 1 0.870065011871658
"2" 2 0.541673320119579 1 1 0.892814636729903
"3" 3 0.415655724435927 1 1 0.947224712349977
"4" 4 0.636378946950448 0.702182934272422 1 0.971926961940258
"5" 5 0.522451755176698 1 0.948020259708239 0.773668569021576
"6" 6 0.556637054517173 0.755999997074961 1 0.976150792260096
"7" 7 0.637604329183817 0.708311234173302 1 0.939563178265395
"8" 8 0.601909189673744 1 0.925996250887428 0.791055272044968
"9" 9 0.570219317087319 1 1 0.846052181185703
"10" 10 0.494638792893943 0.70407262962246 0.94556002788334 0.861459994059791
"11" 11 0.446087696672503 0.989804403472545 0.979762560257125 0.754484185123273
"12" 12 0.615135265902466 1 1 0.900349475941273
"13" 13 0.602826869421254 1 1 0.886682722138152
"14" 14 0.546712033532242 0.756268414482797 0.945103659810783 0.864935935649263
"15" 15 0.632448544506953 1 1 0.88640659963852
"16" 16 0.581495749586629 0.758145235529995 1 0.909706082117335
"17" 17 0.596288558048195 0.755999997074961 0.945103659810783 0.874700540050189
"18" 18 0.632954912685177 1 0.923379209718604 0.74664118061376
"19" 19 0.449118834881281 0.708311234173302 0.987843627543599 0.855537807525112
"20" 20 0.636579277896868 1 1 0.962068931989626
"21" 21 0.594695064012316 1 1 0.842342243434739
"22" 22 0.589437297436606 0.714214739521887 0.988277722032454 0.935593883894964
"23" 23 0.665019913835138 1 0.94556002788334 0.769539676149131
"24" 24 0.545080938623564 1 1 0.904683878271885
"25" 25 0.563097856156192 1 1 0.857136497091649
"26" 26 0.543860221855507 0.760285682194417 1 0.957798908156691
"27" 27 0.488169260654583 1 0.947018788646571 0.832287553046936
"28" 28 0.602748359086975 1 1 0.983842782723346
"29" 29 0.643756879485321 1 0.960494497515364 0.881036468019585
"30" 30 0.461243562467328 0.703033745487175 0.945103659810783 0.74789856436867
"31" 31 0.422592703769168 1 0.953424177637021 0.869517476139594
"32" 32 0.497560486729116 1 1 0.837277910023194
"33" 33 0.630960597393866 1 1 0.851538986711793
"34" 34 0.64004042951202 1 0.945103659810783 0.795509729251542
"35" 35 0.593910801061144 0.647060115061497 0.994073106268061 0.936073371711352
"36" 36 0.637592471565149 0.751248466841886 0.943550204798582 0.767373781415469
"37" 37 0.594666867649545 1 0.950564227346926 0.826321174762779
"38" 38 0.63983915279768 1 0.950564227346926 0.849152365034042
"39" 39 0.643054809020235 0.756715609974051 1 0.931925609146725
"40" 40 0.604319842031094 1 1 0.94225048363588
"41" 41 0.643054809020235 0.763132184891996 1 0.886349643321692
"42" 42 0.599716925975154 0.756715609974051 1 0.946380227240097
"43" 43 0.569853015818901 0.701047376421835 0.94556002788334 0.868041972559865
"44" 44 0.490044932820392 1 1 0.925019757185951
"45" 45 0.596288558048195 1 1 0.916945611790118
"46" 46 0.580389997240501 1 0.953824048623665 0.90553686318096
"47" 47 0.594695064012316 0.756715609974051 1 0.889493470114136
